# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
1.05000000000e+00 2.67930198285e+00 6.41426699763e-05 8.53183682781e-03 3.09841855817e-10 3.09427500742e-10 3.01349052956e-10 1.94725196140e+01 5.41369815937e-01
1.06000000000e+00 2.63134503201e+00 6.58685980317e-05 8.54050280233e-03 3.09841877552e-10 3.09448122826e-10 3.01537826502e-10 1.94991212813e+01 5.49585969938e-01
1.07000000000e+00 2.58481310148e+00 6.76090211468e-05 8.54902701190e-03 3.09841898539e-10 3.09468310923e-10 3.01735850423e-10 1.95201705377e+01 5.57806607978e-01
1.08000000000e+00 2.53964643849e+00 6.93636241958e-05 8.55741398613e-03 3.09841918810e-10 3.09488033956e-10 3.01943638129e-10 1.95356635447e+01 5.66031762420e-01
1.09000000000e+00 2.49578831437e+00 7.11320966869e-05 8.56566801092e-03 3.09841938393e-10 3.09507260988e-10 3.02161735022e-10 1.95455932318e+01 5.74261474860e-01
1.10000000000e+00 2.45318485325e+00 7.29141325950e-05 8.57379314320e-03 3.09841957319e-10 3.09525961656e-10 3.02390720678e-10 1.95499493302e+01 5.82495795033e-01
1.11000000000e+00 2.41178487009e+00 7.47094301983e-05 8.58179322408e-03 3.09841975614e-10 3.09544106654e-10 3.02631211183e-10 1.95487184132e+01 5.90734779839e-01
1.12000000000e+00 2.37153971764e+00 7.65176919189e-05 8.58967189085e-03 3.09841993303e-10 3.09561668240e-10 3.02883861652e-10 1.95418839456e+01 5.98978492465e-01
1.13000000000e+00 2.33240314188e+00 7.83386241680e-05 8.59743258761e-03 3.09842010412e-10 3.09578620762e-10 3.03149368917e-10 1.95294263414e+01 6.07227001605e-01
1.14000000000e+00 2.29433114567e+00 8.01719371931e-05 8.60507857488e-03 3.09842026964e-10 3.09594941172e-10 3.03428474415e-10 1.95113230312e+01 6.15480380751e-01
1.15000000000e+00 2.25728186011e+00 8.20173449291e-05 8.61261293808e-03 3.09842042981e-10 3.09610609524e-10 3.03721967293e-10 1.94875485394e+01 6.23738707567e-01
1.16000000000e+00 2.22121542320e+00 8.38745648506e-05 8.62003859518e-03 3.09842058484e-10 3.09625609415e-10 3.04030687726e-10 1.94580745732e+01 6.32002063323e-01
1.17000000000e+00 2.18609386556e+00 8.57433178265e-05 8.62735830339e-03 3.09842073494e-10 3.09639928363e-10 3.04355530490e-10 1.94228701228e+01 6.40270532391e-01
1.18000000000e+00 2.15188100263e+00 8.76233279754e-05 8.63457466498e-03 3.09842088030e-10 3.09653558095e-10 3.04697448777e-10 1.93819015763e+01 6.48544201794e-01
1.19000000000e+00 2.11854233313e+00 8.95143225218e-05 8.64169013244e-03 3.09842102110e-10 3.09666494729e-10 3.05057458307e-10 1.93351328492e+01 6.56823160800e-01
1.20000000000e+00 2.08604494330e+00 9.14160316519e-05 8.64870701279e-03 3.09842115752e-10 3.09678738855e-10 3.05436641713e-10 1.92825255305e+01 6.65107500566e-01
